SKU,PhotoURL
116201066_143718433,https://resources.cdn-kaspi.kz/img/m/p/p62/p07/37577735.jpg?format=gallery-large
116223660_503684716,https://resources.cdn-kaspi.kz/img/m/p/h2d/h77/85017450610718.jpg?format=gallery-large
116429224_295427397,https://resources.cdn-kaspi.kz/img/m/p/h68/h97/85092629839902.jpg?format=gallery-large
116684987_394145061,https://resources.cdn-kaspi.kz/img/m/p/h68/h53/85191223705630.jpg?format=gallery-large
116882208_370233511,https://resources.cdn-kaspi.kz/img/m/p/h8e/ha9/85247862407198.jpg?format=gallery-large
116969861_097224061,https://resources.cdn-kaspi.kz/img/m/p/he7/hbb/85273902972958.jpg?format=gallery-large
117084016_764475312,https://resources.cdn-kaspi.kz/img/m/p/h4d/h5e/85315603267614.jpg?format=gallery-large
117084016_971529027,https://resources.cdn-kaspi.kz/img/m/p/h4d/h5e/85315603267614.jpg?format=gallery-large
117084019_902332516,https://resources.cdn-kaspi.kz/img/m/p/hd1/he5/85315632267294.jpg?format=gallery-large
117155763_322446166,https://resources.cdn-kaspi.kz/img/m/p/h23/hff/85341731291166.png?format=gallery-large
117227938_345815302,https://resources.cdn-kaspi.kz/img/m/p/h30/h81/85365903360030.jpg?format=gallery-large
117603070_708685781,https://resources.cdn-kaspi.kz/img/m/p/hba/hc3/85484890128414.jpg?format=gallery-large
117692333_580029721,https://resources.cdn-kaspi.kz/img/m/p/h1c/h72/86165640052766.jpg?format=gallery-large
117784497_965977362,https://resources.cdn-kaspi.kz/img/m/p/hc9/h52/85536309379102.jpg?format=gallery-large
117784503_060667485,https://resources.cdn-kaspi.kz/img/m/p/pd7/pf2/24777474.jpg?format=gallery-large
118294242_939419879,https://resources.cdn-kaspi.kz/img/m/p/h20/h86/85704189673502.jpg?format=gallery-large
118712317_587388241,https://resources.cdn-kaspi.kz/img/m/p/h98/h7c/85830140559390.jpg?format=gallery-large
118889054_625974022,https://resources.cdn-kaspi.kz/img/m/p/h0c/h2f/85882488684574.jpg?format=gallery-large
119005671_575231936,https://resources.cdn-kaspi.kz/img/m/p/h9b/had/85916105768990.jpg?format=gallery-large
119388709_369832255,https://resources.cdn-kaspi.kz/img/m/p/h88/h90/86012753838110.jpg?format=gallery-large
